unita,aria,acqua,potenza,ct,termico
AHT,-20,35,33.87,No,Si
AHT,-20,40,31.5,No,Si
AHT,-20,45,29.61,No,Si
AHT,-20,50,27.72,No,Si
AHT,-20,55,25.7,No,Si
AHT,-20,60,23.69,No,Si
AHT,-20,65,22.68,No,Si
AHT,-19,35,34.13,No,Si
AHT,-19,40,31.75,No,Si
AHT,-19,45,29.86,No,Si
AHT,-19,50,27.97,No,Si
AHT,-19,55,25.96,No,Si
AHT,-19,60,23.94,No,Si
AHT,-19,65,22.93,No,Si
AHT,-18,35,34.38,No,Si
AHT,-18,40,32,No,Si
AHT,-18,45,30.11,No,Si
AHT,-18,50,28.22,No,Si
AHT,-18,55,26.21,No,Si
AHT,-18,60,24.19,No,Si
AHT,-18,65,23.18,No,Si
AHT,-17,35,34.64,No,Si
AHT,-17,40,32.26,No,Si
AHT,-17,45,30.37,No,Si
AHT,-17,50,28.48,No,Si
AHT,-17,55,26.46,No,Si
AHT,-17,60,24.44,No,Si
AHT,-17,65,23.44,No,Si
AHT,-16,35,34.9,No,Si
AHT,-16,40,32.51,No,Si
AHT,-16,45,30.62,No,Si
AHT,-16,50,28.73,No,Si
AHT,-16,55,26.71,No,Si
AHT,-16,60,24.7,No,Si
AHT,-16,65,23.69,No,Si
AHT,-15,35,35.15,No,Si
AHT,-15,40,32.76,No,Si
AHT,-15,45,30.87,No,Si
AHT,-15,50,28.98,No,Si
AHT,-15,55,26.96,No,Si
AHT,-15,60,24.95,No,Si
AHT,-15,65,23.94,No,Si
AHT,-14,35,35.4,No,Si
AHT,-14,40,33.01,No,Si
AHT,-14,45,31.12,No,Si
AHT,-14,50,29.23,No,Si
AHT,-14,55,27.22,No,Si
AHT,-14,60,25.2,No,Si
AHT,-14,65,24.19,No,Si
AHT,-13,35,35.64,No,Si
AHT,-13,40,33.26,No,Si
AHT,-13,45,31.37,No,Si
AHT,-13,50,29.48,No,Si
AHT,-13,55,27.47,No,Si
AHT,-13,60,25.45,No,Si
AHT,-13,65,24.44,No,Si
AHT,-12,35,35.88,No,Si
AHT,-12,40,33.52,No,Si
AHT,-12,45,31.63,No,Si
AHT,-12,50,29.74,No,Si
AHT,-12,55,27.72,No,Si
AHT,-12,60,25.7,No,Si
AHT,-12,65,24.7,No,Si
AHT,-11,35,36.12,No,Si
AHT,-11,40,33.77,No,Si
AHT,-11,45,31.88,No,Si
AHT,-11,50,29.99,No,Si
AHT,-11,55,27.97,No,Si
AHT,-11,60,25.96,No,Si
AHT,-11,65,24.95,No,Si
AHT,-10,35,36.36,No,Si
AHT,-10,40,34.02,No,Si
AHT,-10,45,32.13,No,Si
AHT,-10,50,30.24,No,Si
AHT,-10,55,28.22,No,Si
AHT,-10,60,26.21,No,Si
AHT,-10,65,25.2,No,Si
AHT,-9,35,37.15,No,Si
AHT,-9,40,35.03,No,Si
AHT,-9,45,32.93,No,Si
AHT,-9,50,30.83,No,Si
AHT,-9,55,28.73,No,Si
AHT,-9,60,26.63,No,Si
AHT,-9,65,25.37,No,Si
AHT,-8,35,37.95,No,Si
AHT,-8,40,36.04,No,Si
AHT,-8,45,33.73,No,Si
AHT,-8,50,31.42,No,Si
AHT,-8,55,29.23,No,Si
AHT,-8,60,27.05,No,Si
AHT,-8,65,25.54,No,Si
AHT,-7,35,38.74,No,Si
AHT,-7,40,37.04,No,Si
AHT,-7,45,34.52,No,Si
AHT,-7,50,32,No,Si
AHT,-7,55,29.74,No,Si
AHT,-7,60,27.47,No,Si
AHT,-7,65,25.7,No,Si
AHT,-6,35,39.53,No,Si
AHT,-6,40,37.4,No,Si
AHT,-6,45,34.88,No,Si
AHT,-6,50,32.36,No,Si
AHT,-6,55,30.16,No,Si
AHT,-6,60,27.97,No,Si
AHT,-6,65,26.06,No,Si
AHT,-5,35,40.32,No,Si
AHT,-5,40,37.75,No,Si
AHT,-5,45,35.23,No,Si
AHT,-5,50,32.71,No,Si
AHT,-5,55,30.59,No,Si
AHT,-5,60,28.48,No,Si
AHT,-5,65,26.41,No,Si
AHT,-4,35,40.42,No,Si
AHT,-4,40,38.1,No,Si
AHT,-4,45,35.58,No,Si
AHT,-4,50,33.06,No,Si
AHT,-4,55,31.02,No,Si
AHT,-4,60,28.98,No,Si
AHT,-4,65,26.76,No,Si
AHT,-3,35,40.52,No,Si
AHT,-3,40,38.46,No,Si
AHT,-3,45,35.94,No,Si
AHT,-3,50,33.42,No,Si
AHT,-3,55,31.45,No,Si
AHT,-3,60,29.48,No,Si
AHT,-3,65,27.12,No,Si
